COM,IRIS,LIBIRIS,LIBCOM,LIB_EPCI_SUB,P18_POP,P18_POP0002,P18_POP0305,P18_POP0610,P18_POP1117,P18_POP1824,P18_POP2539,P18_POP4054,P18_POP5564,P18_POP6579,P18_POP80P
94002,940020202,Grand Ensemble,Alfortville,Grand Paris Sud Est Avenir,3552.23916862894,148.340140600333,146.166102111554,240.674352574018,382.475344190996,348.653981685826,561.534125312975,617.590031050098,507.573371873781,379.07348952416,220.158229705195
94002,940020203,Carnot Petit Pont Alouettes,Alfortville,Grand Paris Sud Est Avenir,2851.78498541987,84.3856384845891,90.4735277814159,173.122256981386,216.279753125,324.177835590584,752.68091803895,511.267642376762,368.528847046074,249.708363059062,81.1602029360459
94002,940020204,Jardin Val de Seine,Alfortville,Grand Paris Sud Est Avenir,2508.91148923802,135.694775966934,131.088683200658,178.739969278078,248.840583414933,213.139475534265,479.551943240295,490.100782544788,316.860939212103,216.939837924178,97.9544989217841
94002,940020205,Vert de Maison,Alfortville,Grand Paris Sud Est Avenir,1367.28076581907,36.0935777738817,35.3991444408317,72.9043570862332,78.107502003306,103.426527936742,271.288718630549,260.459812402564,162.457507411339,244.157461073746,102.986157059878
94002,940020206,Grenoble Toulon,Alfortville,Grand Paris Sud Est Avenir,3013.77127161065,109.234174217114,112.311094853786,235.236770690568,286.690944202951,222.37815914885,685.288765134747,623.529358177484,379.858024592091,266.879363655562,92.3646169374984
94003,940030101,Joliot-Curie 1,Arcueil,Grand-Orly Seine Biävre,3145.3316075207,158.40290062406,160.38753397184,215.214222441371,247.877577235883,253.603715572448,901.692463873091,649.183570177166,271.796773842144,211.626927548864,75.54592223383
94003,940030102,Joliot-Curie 2,Arcueil,Grand-Orly Seine Biävre,1962.55455563556,48.1615630865752,73.4975629752061,106.59236685945,219.394420745554,204.130110985473,344.614582513546,384.221418223564,298.080104774273,195.908800640996,87.9536248309213
94003,940030103,Barbusse,Arcueil,Grand-Orly Seine Biävre,1886.72050964391,59.1404523573368,74.423887934256,77.1493427825822,130.660274899803,199.741955561054,532.498180765999,331.543968099901,205.387964998978,210.185508295101,65.9889739488965
94003,940030104,Jean Mac_ 1,Arcueil,Grand-Orly Seine Biävre,2634.96408562035,186.092535609307,131.224207053535,215.564175400851,249.236432904429,214.882723807777,624.733567306911,477.538861961072,258.175017891237,190.872816230372,86.6437474548614
94003,940030105,Jean Mac_ 2,Arcueil,Grand-Orly Seine Biävre,2968.12322437864,132.045684023714,77.383169962552,168.579770102546,252.175570202488,293.489461978562,560.361230807186,642.654020850332,378.5493792734,227.144521679638,235.74041549822
94003,940030106,Jules Ferry 1,Arcueil,Grand-Orly Seine Biävre,2568.29826043471,102.852173246048,55.6803590408626,123.943351658068,247.836182245164,356.22547054758,468.267776474644,573.291627633444,325.744578645005,287.023052120134,27.4336888237603
94003,940030107,Jules Ferry 2,Arcueil,Grand-Orly Seine Biävre,2109.12681785351,88.4470507479561,49.2196114771273,126.792188582802,161.418081903462,252.650609137065,497.347726273261,446.45724972599,240.229513613689,165.893996378101,80.6707900140606
94003,940030108,Laplace 1,Arcueil,Grand-Orly Seine Biävre,2168.18875711354,91.0899455801995,71.9740316947905,130.384090818122,166.603250867907,180.796357097438,532.386234894565,473.229592363508,230.599417003943,203.619738604368,87.5060981887001
94003,940030109,Laplace 2,Arcueil,Grand-Orly Seine Biävre,2277.69218179908,80.3934019887371,98.9865764629422,95.7994971588275,118.159325635618,274.853042507735,637.108888838371,408.442736256223,212.919753566525,258.195548811563,92.8334105725388
94004,940040101,Les Hautes Varennes,Boissy-Saint-LÇger,Grand Paris Sud Est Avenir,2956.16465995215,125.109901419058,134.808196215421,286.89040463914,365.126996493242,321.898284903386,549.513185803067,561.636069942219,348.64902686461,252.019198538317,10.5133951336916
94004,940040102,Rostand,Boissy-Saint-LÇger,Grand Paris Sud Est Avenir,3095.7157073405,129.556098343918,130.976926313791,265.763716904007,345.441260289365,251.205134417393,560.63119816093,633.82147089372,364.136539268863,331.384932446609,82.7984303019025
94004,940040103,PrÇvert,Boissy-Saint-LÇger,Grand Paris Sud Est Avenir,2231.17634141364,106.09764684671,73.6678549356729,116.543579556181,233.672398106223,343.736895816229,580.913747720587,348.761339859985,170.211318056316,157.190395100509,100.381165415225
