CODE_IRIS,INSEE_COM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,LIB_EPCI,A203,B101,B102,B201,B202,B203,C101,C102,C103,C104,C105,C201,C301,C302,C303,C304,C305,C701,C702,D101,D102,D103,D201,D401,D402,D403,F101,F102,F103,F104,F107,F109,F111,F112,F114,F117,F120,F121,F203,F303,F305,F307,F312,G102,G104
751051904,75105,Paris 5e Arrondissement,1904,Val de GrÉce 4,H,Paris,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,3
751051905,75105,Paris 5e Arrondissement,1905,Val de GrÉce 5,H,Paris,1,0,1,0,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
751051906,75105,Paris 5e Arrondissement,1906,Val de GrÉce 6,H,Paris,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1
751051907,75105,Paris 5e Arrondissement,1907,Val de GrÉce 7,H,Paris,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2
751051908,75105,Paris 5e Arrondissement,1908,Val de GrÉce 8,H,Paris,1,0,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,11
751052001,75105,Paris 5e Arrondissement,2001,Sorbonne 1,H,Paris,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0
751052002,75105,Paris 5e Arrondissement,2002,Sorbonne 2,H,Paris,7,0,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,1
751052003,75105,Paris 5e Arrondissement,2003,Sorbonne 3,H,Paris,2,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,10,3
751052004,75105,Paris 5e Arrondissement,2004,Sorbonne 4,H,Paris,5,0,1,3,7,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,4
751052005,75105,Paris 5e Arrondissement,2005,Sorbonne 5,A,Paris,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
