"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP","P13_POP0024_CALC","P13_POP1824","P13_POP65P","P13_POP0014","P13_POP1529","P13_POP3044","P13_POP4559","P13_POP6074","P13_POP75P"
"751072503","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 3","750311","7510725","H","00","2",1599,433,192,348,195,333,295,334,255,187
"751072803","75107","75","Paris 7e Arrondissement","Gros Caillou 3","750341","7510728","H","00","1",1768,479,296,348,135,615,341,249,258,169
"751072603","75107","75","Paris 7e Arrondissement","Invalides 3","750291","7510726","H","00","2",846,202,106,170,76,205,133,196,160,75
"751072599","75107","75","Paris 7e Arrondissement","Seine et Berges","750301","7510725","D","00","3",0,0,0,0,0,0,0,0,0,0
"751072601","75107","75","Paris 7e Arrondissement","Invalides 1","750291","7510726","H","00","1",2093,565,211,424,271,501,327,431,349,213
"751072504","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 4","750311","7510725","H","00","1",1511,401,212,316,153,352,219,330,299,157
"751072602","75107","75","Paris 7e Arrondissement","Invalides 2","750291","7510726","H","00","2",1447,388,159,311,173,332,219,335,232,156
"751083005","75108","75","Paris 8e Arrondissement","Faubourg du Roule 5","750411","7510830","A","00","2",1379,411,205,206,163,355,279,286,197,98
"751083002","75108","75","Paris 8e Arrondissement","Faubourg du Roule 2","750411","7510830","H","00","1",3163,997,496,538,436,875,569,569,447,266
"751083001","75108","75","Paris 8e Arrondissement","Faubourg du Roule 1","750411","7510830","H","00","2",1884,512,203,357,237,424,308,364,441,110
"751082999","75108","75","Paris 8e Arrondissement","Seine et Berges","750401","7510829","D","00","3",0,0,0,0,0,0,0,0,0,0
"751083004","75108","75","Paris 8e Arrondissement","Faubourg du Roule 4","750411","7510830","A","00","2",1767,553,239,264,267,400,301,423,260,116
"751083003","75108","75","Paris 8e Arrondissement","Faubourg du Roule 3","750411","7510830","A","00","3",497,132,56,52,68,152,123,85,44,25
"751083201","75108","75","Paris 8e Arrondissement","Europe 1","750371","7510832","H","00","2",2601,739,268,292,361,721,563,512,345,98
