"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","C13_POP15P_CS7_tx","P13_ACT1564_tx","P13_CHOM1564_tx","P13_ETUD1564_tx","P13_ACT1524_tx","P13_CHOM1524_tx","P13_SAL15P_CDD_tx","P13_SAL15P_INTERIM_tx"
"751072605","75107","75","Paris 7e Arrondissement","Invalides 5","750291","7510726","A","00","3",0,76,10.5,16,33.3,100,11.8,0
"751072707","75107","75","Paris 7e Arrondissement","Ecole Militaire 7","750331","7510727","A","00","3",0,96.1,1.4,2.6,80,0,57.7,0
"751072805","75107","75","Paris 7e Arrondissement","Gros Caillou 5","750351","7510728","H","00","1",19.4,77.1,11.4,14.6,45,11.6,12.4,0.7
"751072806","75107","75","Paris 7e Arrondissement","Gros Caillou 6","750351","7510728","H","00","1",25.4,71.8,9.3,14.1,28,26.2,11.7,0
"751072807","75107","75","Paris 7e Arrondissement","Gros Caillou 7","750351","7510728","H","00","1",20.6,70.3,8.8,13.9,25.1,24.2,9.8,0
"751072804","75107","75","Paris 7e Arrondissement","Gros Caillou 4","750341","7510728","H","00","1",20.2,75,10,13.9,34.9,19.5,13.3,0.5
"751072899","75107","75","Paris 7e Arrondissement","Seine et Berges","750361","7510728","D","00","3",0,0,0,0,0,0,0,0
"751072801","75107","75","Paris 7e Arrondissement","Gros Caillou 1","750341","7510728","H","00","2",16.4,78.7,8.6,15,33.9,18.3,7,0.6
"751072802","75107","75","Paris 7e Arrondissement","Gros Caillou 2","750341","7510728","H","00","2",14.1,79.1,12.2,13.5,39,20.9,6.2,0.4
"751072508","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 8","750301","7510725","A","00","3",0,100,0,0,0,0,0,0
"751072501","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 1","750311","7510725","H","00","2",19.9,69,7.1,21.6,33.5,12,10.3,1.9
"751072502","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 2","750311","7510725","H","00","1",26.2,72.5,10.2,15,28.9,10.2,13.5,0.7
"751072503","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 3","750311","7510725","H","00","2",18.8,66.8,9.8,15.2,43.7,16.3,13.3,0.8
"751072803","75107","75","Paris 7e Arrondissement","Gros Caillou 3","750341","7510728","H","00","1",19.9,78.7,11.4,14.6,54.9,14.3,11.2,0
"751072603","75107","75","Paris 7e Arrondissement","Invalides 3","750291","7510726","H","00","2",17.9,74.5,10.8,16.7,39.2,12.2,14.5,0
"751072599","75107","75","Paris 7e Arrondissement","Seine et Berges","750301","7510725","D","00","3",0,0,0,0,0,0,0,0
"751072601","75107","75","Paris 7e Arrondissement","Invalides 1","750291","7510726","H","00","1",18.8,75,8.9,15.7,33,20.6,10.7,0
"751072504","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 4","750311","7510725","H","00","1",20.5,68.1,13.3,18.2,27.8,23.2,10.6,0
"751072602","75107","75","Paris 7e Arrondissement","Invalides 2","750291","7510726","H","00","2",18.9,72.1,9.8,17.9,19.6,2.4,7.3,0
"751083005","75108","75","Paris 8e Arrondissement","Faubourg du Roule 5","750411","7510830","A","00","2",15.6,75.5,10.1,15,42.7,12.3,10.1,0.2
"751083002","75108","75","Paris 8e Arrondissement","Faubourg du Roule 2","750411","7510830","H","00","1",19.7,74.2,9.6,15.9,40.3,15.9,8.5,0.9
"751083001","75108","75","Paris 8e Arrondissement","Faubourg du Roule 1","750411","7510830","H","00","2",18.6,71.7,9.8,16,31.2,20.9,6.3,0.5
"751082999","75108","75","Paris 8e Arrondissement","Seine et Berges","750401","7510829","D","00","3",0,0,0,0,0,0,0,0
"751083004","75108","75","Paris 8e Arrondissement","Faubourg du Roule 4","750411","7510830","A","00","2",16.2,75.7,10.4,17,32.9,36.2,6.1,1
"751083003","75108","75","Paris 8e Arrondissement","Faubourg du Roule 3","750411","7510830","A","00","3",11.4,84.4,17.6,10.1,58.5,10.5,9.8,0
